Year,Crop,Tissue,Feature ID,Treatment,Mean,p-value,Pathway,Superclass,Class
2022,corn,root,1354,AP,34848.00,7.36247E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,root,1354,PP,27724.40,7.36247E-06,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1354,AP,44147.62,7.40306E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1354,PP,49273.90,7.40306E-05,Carbohydrates,Saccharides,Disaccharides
2022,corn,leaf,1363,AP,34550.59,2.06738E-08,Alkaloids,Alkaloids and derivatives,Pyridine alkaloids
2022,corn,leaf,1363,PP,25291.53,2.06738E-08,Alkaloids,Alkaloids and derivatives,Pyridine alkaloids
2022,corn,root,1422,AP,8526.40,0.039537215,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1422,PP,11355.35,0.039537215,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1422,AP,2000.08,0.00856812,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1422,PP,2263.58,0.00856812,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1456,AP,7550.90,0.002618782,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,leaf,1456,PP,6619.70,0.002618782,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,root,1468,AP,2072.90,4.60116E-08,Shikimates and Phenylpropanoids,Organic oxygen compounds,Quinic acids and derivatives
2022,corn,root,1468,PP,926.50,4.60116E-08,Shikimates and Phenylpropanoids,Organic oxygen compounds,Quinic acids and derivatives
2022,corn,leaf,1468,AP,7699.67,1.99852E-11,Shikimates and Phenylpropanoids,Organic oxygen compounds,Quinic acids and derivatives
2022,corn,leaf,1468,PP,4494.95,1.99852E-11,Shikimates and Phenylpropanoids,Organic oxygen compounds,Quinic acids and derivatives
2022,corn,leaf,1479,AP,1108.21,0.0004125,Alkaloids,Organoheterocyclic compounds,Pyridines and derivatives
2022,corn,leaf,1479,PP,875.55,0.0004125,Alkaloids,Organoheterocyclic compounds,Pyridines and derivatives
2022,corn,root,1484,AP,23764.45,0.040571366,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1484,PP,30873.85,0.040571366,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1484,AP,69514.95,0.001261453,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,leaf,1484,PP,77601.90,0.001261453,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1502,AP,5122.08,0.013627126,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1502,PP,6938.83,0.013627126,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2022,corn,root,1509,AP,4119.90,0.000043367,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,root,1509,PP,1645.75,0.000043367,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,leaf,1509,AP,25977.90,2.40478E-08,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,leaf,1509,PP,19670.90,2.40478E-08,Alkaloids,Organoheterocyclic compounds,Dihydrofurans
2022,corn,leaf,1551,AP,5453.90,3.56867E-11,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
2022,corn,leaf,1551,PP,3015.88,3.56867E-11,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
2022,corn,leaf,1575,AP,1534.97,0.003865154,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,leaf,1575,PP,1957.75,0.003865154,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,leaf,1581,AP,1424.41,0.027457312,Unclassified,Unclassified,Unclassified
2022,corn,leaf,1581,PP,1240.33,0.027457312,Unclassified,Unclassified,Unclassified
2022,corn,root,1601,AP,12163.03,4.78814E-07,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,root,1601,PP,15322.78,4.78814E-07,Carbohydrates,Nucleosides,Purine nucleos(t)ides
2022,corn,leaf,1601,AP,34948.49,0.046476265,Carbohydrates,Nucleosides,Purine nucleos(t)ides
